CompanyName,Website,Industry,Country,Company Description,DateVictimised,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
Air Cleaning Specialists,www.aircleaningspecialists.com,Construction, United States,"For over 40 years, Air Cleaning Specialists, Inc., has been providing indoor air quality solutions for industrial and commercial applications. We began in 1979 by selling and servicing Smokeeters for tobacco applications and have since grown exponentially into an internet marketing company with solid US distribution capabilities.",17/6/24,19484,249,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Diverse Technology Industrial,www.dtindustrialflooring.com,Construction, United States,"Diverse Technology Industrial specializes in quality concrete solutions for all your exterior challenges. Flooring systems can be used for a variety of applications to achieve specific performance criteria, an aesthetic appearance or a combination of both.",17/6/24,19429,319,"['PII', 'Customer and Client Data', 'Financial Data']",Play
City Builders,www.citybuilders.com,Construction, United States,City Builders offers an array of high quality products for your home that we truly believe are the best in the industry.,17/6/24,19416,18,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Refcio & Associates,www.rrlaw.ca,Legal Services, Canada,"Robinson & Refcio is a local London law firm that focuses on providing quality, cost-effective legal services to small and medium size businesses in the London area and throughout the Province.",17/6/24,19367,123,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Aldenhoven,www.aldenhoven.nl,Finance, Netherlands,Aldenhoven Interieurwerken makes custom furniture and complete interiors.,17/6/24,19434,61,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Amarilla Gas,www.amarillagas.com,Utilities, Argentina,"Amarilla Gas is a company with national capital, in continuous expansion of its Liquefied Petroleum Gas (LPG) marketing systems.",17/6/24,19341,250,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ab Monsteras Metall,www.monsterasmetall.se,Transportation, Sweden,Ab Monsteras Metall is a company that operates in the Wholesale industry.,17/6/24,19332,29,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Me Too Shoes,www.metooshoes.com,Manufacturing, United States,"For nearly 20 years, ...me Too has stood out in the industry by fulfilling a tall order: shoes that are stylish, comfortable and high quality.",17/6/24,19367,249,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Celluphone,www.celluphone.com,Telecommunications, United States,"Celluphone, Inc. is engaged in the wholesale distribution of wireless equipment. It offers smartphones, feature phones, Internet devices, and accessories; online tools for large retail chains; and personal support services.",17/6/24,19387,93,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Walder Wyss and Partners,www.wwp.ch,Retail,  Switzerland,Walder Wyss and Partners is a company that operates in the Legal Services industry.,17/6/24,19428,46,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ntv,www.ntv.ca,Media and Internet, Canada,"NTV is headquartered in St. John's, Newfoundland and Labrador, Canada, the easternmost tip of North America. NTV is independently owned and operated and is broadcast in HD.",2/6/24,22001,48,"['PII', 'Customer and Client Data', 'Financial Data']",Play
WALSER AUTOMOTIVE GROUP,www.walser.com,Retail, United States,"Walser Automotive Group has been family-owned and operated in Minnesota for over 65 years, where we pioneered our âBest Price Firstâ philosophy; we offer the lowest price we can on every vehicle from the start, no hassle or haggle required.",2/6/24,21959,469,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Elmhurst Group,www.elmhurstgroup.com,Real Estate, United States,"The Elmhurst Group of companies is a 45-year-old Pittsburgh-based organization that invests in commercial real estate and the hospitality industry. Elmhurstâs real estate holdings include 40 buildings on 21 sites, totaling more than three million square feet of office, distribution, flex, and hotel space. Elmhurstâs long-term strategy is to continually increase the value of each of its properties by providing strong and dedicated management and exceptional customer service.",2/6/24,21893,79,"['PII', 'Customer and Client Data', 'Financial Data']",Play
FPL Food,www.fplfood.com,Manufacturing, United States,"Founded in 2004 and headquartered in Augusta, Georgia, FPL Food, LLC produces and processes beef products. The Company offers beef tenderloin, ribeye, striploin, brisket, boneless shank, cube steak, and sliced knuckle products.",11/6/24,21960,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Credit Central,www.creditcentralllc.com,Construction, United States,"Credit Central provides installment loans to qualified Alabama, Georgia, South Carolina, Tennessee, and Texas residents. We also offer free tax preparation, filing, and options for advance tax refund loans.",1/6/24,21869,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Levin Porter Associates,www.levin-porter.com,Construction, United States,"Levin Porter Associates Inc. was founded in Dayton, Ohio in 1960. The services of Levin Porter Associates Inc, with its consultants, includes planning, programming, architecture, interior design, cost estimating, engineering and specialized technologies required for a complete project. For over 50 years,",29/5/24,23135,27,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Semicore Equipment,www.semicore.com,Consumer Services, United States,"Semicore is a manufacturer and worldwide supplier of PVD or Physical Vapor Deposition equipment and thermal evaporation systems for the electronics, academics, optical, solar energy and etc.",29/5/24,23041,21,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Visa Lighting,www.visalighting.com,Manufacturing, United States,"Visa Lighting's mission is to forge bold, exceptional experiences through progression and creative collaboration.",28/5/24,23077,127,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ardenbrook,www.ardenbrook.com,Real Estate, United States,"Ardenbrook, Inc. is one of the San Francisco Bay Area's largest real estate investment companies. The company has over 90 years of combined operational experience and owns or operates numerous properties including office and industrial buildings, shopping centers and apartment complexes. Holdings are in five Western States but primarily in the East Bay.",28/5/24,22979,17,"['PII', 'Customer and Client Data', 'Financial Data']",Play
RDI-USA,www.rdiglobalhospitality.com,Hospitality, United States,"RDI-USA, Inc. was established in 2004 with a vision to create a global sourcing solution for all aspects of the Hospitality Industry. The combination of experience and product development allows us to deliver quality products at low prices. Our products are maintained at the highest level of integrity to meet our Customer's and Brand's standards.",28/5/24,22991,326,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Anchorage Daily News,www.adn.com,Media and Internet, United States,"Based in Anchorage, Anchorage Daily News offers news, features and commentary with a statewide focus.",28/5/24,22995,16,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Experis Technology Group,www.experistg.com,Software, United States,"For the past two decades, Experis Technology Group, Inc. has been integrating the best of breed software and hardware solutions, along with our consulting services to deliver non-stop environments. We provide businesses with secure, high performing, and highly available systems to support mission-critical workloads.",28/5/24,22934,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
The Louis G Freeman,www.freemancompany.com,Manufacturing, United States,The Louis G Freeman Co is a company that operates in the Machinery industry.,28/5/24,22557,240,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Aspire Tax,www.aspiretax.com,Business Services, United States,"Aspire Tax and Bookkeeping Services is based out of New York, USA and is a trusted accounting partner to a large number of business establishmentsand CPAs in US and Canada, since 2012. With a Better Business Bureau rating of A+, we have created a benchmark in providing cost effective bookkeeping, accounting and taxation services.",28/5/24,22443,297,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Starostwo Powiatowe w Åwiebodzinie,www.samorzad.gov.pl,Government, Poland,Starostwo Powiatowe w Åwiebodzinie is a company that operates in the Government industry.,28/5/24,22475,10,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Tri-state General Contractors,www.tri-stategc.com,Construction, United States,"The Best and Fastest Retail Builders in CA, AZ, NV, HI, ID, UT, WA, OK, NM, TX Incorporated in 2008, Tri State General Contractors specializes in retail and commercial construction with licenses in CA, AZ, NV, HI, ID, UT, OK, NM and TX. In 2013 Dave Mason, Sr. was named President of Tri State General Contractors and brought over 34 years of construction experience to the company.",28/5/24,22459,397,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ryder Scott Co.,www.ryderscott.com,Construction, United States,"We pride ourselves on providing personal service. Ryder Scott is committed to satisfying the individual needs of its clients. This helps build thelong-term business, professional and personal relationships that are so important in working together toward a common objective.",28/5/24,22460,333,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Badger Tag & Label,www.badgertag.com,Business Services, United States,Badger Tag & Label will continually strive to provide quality products at competitive prices to our customers nationwide and beyond. We believe insmall town values and take customer service very seriously. Our customers know we are a company in the Midwest in whom they can place their trust.,12/5/24,23956,61,"['PII', 'Customer and Client Data', 'Financial Data']",Play
NK Parts Industries,www.nkparts.com,Transportation, United States,"NK Parts Industries is a global supply chain and logistics management company providing a one-vendor supply chain management system that can provide domestic and international logistics, freight forwarding, exporting, warehousing, packaging, manufacturing services.",12/5/24,23912,598,"['PII', 'Customer and Client Data', 'Financial Data']",Play
LiveHelpNow,www.livehelpnow.net,Business Services, United States,"LiveHelpNow offers a full suite of integrated solutions to streamline the ""business to consumer"" customer service process. LiveHelpNow provides award winning solutions for businesses looking to better sell to consumers.",12/5/24,23875,531,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Sentry Data Management,www.sentrydatamgt.com,Business Services, United States,"Sentry is committed to helping our customers handle a variety of information management challenges. The most important of these challenges is our main concern: Privacy. Whether you need important documents stored off-site or a major clean out of old files, you can count on Sentry to always use uncompromising security standards to get the job done efficiently and securely.",13/5/24,24519,52,"['PII', 'Customer and Client Data', 'Financial Data']",Play
KC Scout,www.kcscout.net,Education, United States,KC Scout is a company that operates in the Public Safety industry.,13/5/24,24517,351,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Utica Mack,www.uticamack.com,Transportation, United States,New York's leading heavy duty truck dealerships.,13/5/24,24470,28,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Affordable Payroll & Bookkeeping Services,www.apb-services.com,Finance, United States,"Affordable Payroll & Bookkeeping (APB) is group of Certified Public Accountants, Professional Accountants and Certified Bookkeepers having a combined experience of over decade. APB provides reliable and professional bookkeeping and payroll services to small and mid level business in New York and state of Massachusetts.",13/5/24,24473,29,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Donco Air,www.raymon-hvac.com,Manufacturing, United States,"Raymon-Donco manufactures air distribution equipment for the heating, ventilating and air conditioning industry. We produce a custom line of air diffusers used primarily in commercial buildings. Sales are made through our network of manufacturers' representatives in offices across the United States and Canada.",13/5/24,24494,29,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Somerville,www.somervilleinc.com,Construction, United States,Somerville is a company that operates in the Architecture & Planning industry.,13/5/24,24488,151,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Mauritzon,www.mauritzon.net,Manufacturing, United States,"Spanning Three Centuries, and five generations of family ownership, Mauritzon, Inc. has proudly served hundreds of industries since 1888. The tradition remains strong because the ideals have remained the same... our customer is the most valuable asset we have",14/5/24,24475,12,"['PII', 'Customer and Client Data', 'Financial Data']",Play
High Performance Services,www.hpsllc.us,Telecommunications, United States,We pride ourselves on being able to offer our clients the full range of telecommunication services. We are your project management team who focuseson the wireless telecommunication industry.,14/5/24,24480,192,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Central Florida Equipment,www.centralcivil.com,Construction, United States,"Founded by James Baer in 1977, the family-owned and operated construction company has been involved in laying the foundation for some of South Florida's most notable projects.",14/5/24,24427,155,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Stainless Foundry & Engineering,www.stainlessfoundry.com,Metals & Mining, United States,"Established in 1946 by John McBroom, & headquartered in Milwaukee, Wisconsin, Stainless Foundry & Engineering Inc. (SFE) is a well-established andhighly regarded manufacturer of raw and machined castings in both sand and investment.",5/5/24,24923,366,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Profile Products,www.profileproducts.com,Utilities, United States,"Based in Buffalo Grove, IL, PROFILE Products, LLC offers environmentally sound, site-specific solutions for soil modification, horticultural production, erosion control and plant establishment.",3/5/24,25345,95,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Advanced Business Networks,www.netabn.com,Business Services, United States,Advanced Business Networks is an IT consulting company specializing in providing IT support to small and mid-sized organizations across the Chicagoarea.,3/5/24,25361,304,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Canatal Industries,www.canatal.net,Construction, United States,"Canatal fabricates and fully installs structural steel projects customized to your specifications and schedule; our goal is to exceed your expectations. In a market where fast-track construction projects are increasingly common, where efficiency is paramount and where delays mean a loss of profits, Canatal prides itself in being able to alter the workflow in ingenious and resourceful ways to meet deadlines.",2/5/24,25118,79,"['PII', 'Customer and Client Data', 'Financial Data']",Play
New Hudson Facades,www.newhudsonfacades.com,Construction, United States,"ncorporated in 2014, New Hudson Facades (NHF) is a custom architectural faade company specializing in the design, engineering, manufacturing, andinstallation of facades on world class buildings. NHF partners with leading architects and general contractors to provide innovative and challenging cladding solutions for some of the most architecturally significant projects being built today.",1/5/24,25994,586,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Toolmarts,www.toolmarts.com,Retail, United States,"Toolmarts has been a factory direct distributor of power tools, woodworking equipment and shop machinery since 1986. Toolmarts is headquartered inEscondido, CA",1/5/24,25971,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Legislative Bill Drafting Commission,www.lbdc.state.ny.us,Construction, United States,Legislative Bill Drafting Commission is a company that operates in the Government industry.,1/5/24,25899,74,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Yale Mortgage,www.yalemortgage.com,Finance, United States,"ale Mortgage offers mortgage loans to others. It provides information, protection from unauthorized access, verifies identity, andaccount services.",2/5/24,25909,87,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Precision Fluid Controls,www.precisionfluidcontrols.com,Transportation, United States,"Precision Fluid Controls, Inc. designs, manufactures and tests components for launch vehicles and ground support applications-providing many typesof valves including throttling valves, ball valves, check and relief valves, vent and relief valves, pressure reducing, both manual and dome loaded, regulators, sleeve valves, butterfly valves, solenoid valves plus many others.",2/5/24,25924,51,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Original Herkimer Cheese,www.originalherkimercheese.com,Manufacturing, United States,"We like to say that Original Herkimer CheeseÂ® is Where Excellence Is a Tradition, and to us that's personal. We are a 3rd generation family ownedand operated business.",2/5/24,25819,27,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Axip Energy Services,www.axip.com,Utilities, United States,"Axip Energy Services is a provider of contract compression and production equipment, wellpad solutions, and treating facilities to the oil and gasindustry.",2/5/24,25822,129,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Engineered Automation of Maine,www.eaminc.com,Manufacturing, United States,"Engineered Automation of Maine, Inc. designs, manufactures, and services both standard and custom equipment for your unique needs and process.",24/4/24,27474,157,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Pennsylvania Convention Center,www.paconvention.com,Hospitality, United States,"Established in 1950. The Philadelphia Convention & Visitors Bureau (PCVB), a private membership corporation, is the official Tourism Promotion Agency for the City of Philadelphia, and the primary sales and marketing agency for the Pennsylvania Convention Center.",26/4/24,27291,211,"['PII', 'Customer and Client Data', 'Financial Data']",Play
SIS Automatisering,www.sisautomatisering.nl,Business Services, Netherlands,"The technically oriented SIS team complements our own specialists and is fully prepared to support COIN at any time. The fact that COIN has been able to count on Martin and his team for years, and that they provide optimal input when designing technical solutions for our customers, is very valuable to COIN.",24/4/24,27246,216,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Alltruck Bodies,www.alltruckbodies.com.au,Manufacturing, Australia,"Alltruck Bodies manufacture a range of rigid bodies, such as Curtainsiders, Colorbond vans, FRP vans, Trays, Insulated bodies, Freezer bodies and Light Weight bodies.",24/4/24,27232,365,"['PII', 'Customer and Client Data', 'Financial Data']",Play
JE Owens,www.jeowens.com,Accounting, United States,JE Owens & Co is a company that operates in the Accounting industry.,23/4/24,26996,137,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Heritage Cooperative,www.heritagecooperative.com,Membership Organizations, United States,"Founded in 2009, Heritage cooperative provides agricultural products and services to increases the quality of life in the rural communities. They are based in Delaware, Ohio.",16/4/24,28507,297,"['PII', 'Customer and Client Data', 'Financial Data']",Play
The MBTW Group,www.mbtw.com,Construction, Canada,"The MBTW Group is an award winning, multi-disciplinary landscape architecture, urban design and community planning firm located in Midtown Toronto. Our design studio, in business since 1975, has provided design consulting services to an international roster of clients in both private and public sectors",16/4/24,28651,251,"['PII', 'Customer and Client Data', 'Financial Data']",Play
LS Networks,www.lsnetworks.net,Telecommunications, United States,"ounded in 2005, LS Networks serves business, government, healthcare, education and other enterprises with bandwidth and network connectivity. LS Networks is located in Portland, Oregon.",16/4/24,28655,408,"['PII', 'Customer and Client Data', 'Financial Data']",Play
New England Wooden Ware,www.newwpkg.com,Manufacturing, United States,"Founded in 1834 as the E. Murdock Company in Winchendon, Massachusetts we were at one time the largest manufacturer of wooden products and containers in New England. We pride ourselves in over 180 years of craftsmanship and evolving technology.",16/4/24,28551,95,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Access Intelligence,www.accessintel.com,Business Services, United States,"Founded in 1977, Access Intelligence provides clients with business insights and integrated marketing solutions. Access Intelligence is headquartered in Rockville, Maryland.",16/4/24,28570,34,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Theatrixx Technologies,www.theatrixx.com,Manufacturing, Canada,"Theatrixx Technologies distributes and manufactures technical equipment to suit the needs of the performing arts industry.Theatrixx Technologies' product lines are carefully selected based on our rigorous criteria with regards to safety, reliability, sturdiness, quality of construction and manufacturers' solid reputation.",16/4/24,28442,65,"['PII', 'Customer and Client Data', 'Financial Data']",Play
MoldTech,www.moldtechrubber.com,Manufacturing, United States,"Moldtech, Inc. is a leading North American developer and manufacturer of innovative custom rubber molded products.",16/4/24,28357,19,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Feldstein & Stewart,www.feldsteinandstewart.com,Business Services, United States,Feldstein & Stewart LLP provides accounting and tax services to clients in the New York & New Jersey Metropolitan Area.,13/4/24,28394,271,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Everbrite,www.everbrite.com,Manufacturing, United States,"Founded in 1927, Everbrite provides visual identification and LED lighting solutions to companies throughout the world. Headquartered in Greenfield, Wisconsin.",10/4/24,29610,63,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Guy's Floor Service,www.guysfloor.com,Construction, United States,"Guys Floor Service, Inc. was launched by our founder, Guy Routzon, in 1942 from a modest home in downtown Denver. In those early days, Guy got hisstart refinishing hardwood floors in the barracks of the Lowry Air Force Base. Now with two design center locations, three divisions and a high volume fabrication facility, we are proud of our substantial growth and our reputation for excellence within the residential and commercial interior finishing industry.",10/4/24,29627,232,"['PII', 'Customer and Client Data', 'Financial Data']",Play
